latitude,longitude,elevation,distance,frequency,ht,hr,distance_x,distance_y,tantennaelev,clutterheight,pathloss,tlatitude,tlongitude
33.65666667,35.7475,945,2.886083943,868,1.5,12,0.00532667,-0.03029,864.9,4,124,33.65134,35.77779
33.65666667,35.7475,945,2.886083943,868,1.5,12,0.00532667,-0.03029,864.9,4,133,33.65134,35.77779
33.65666667,35.7475,945,2.73505603,868,1.5,12,-0.00770333,-0.02815,872.7,4,110,33.66437,35.77565
33.65666667,35.7475,945,2.73505603,868,1.5,12,-0.00770333,-0.02815,872.7,4,106,33.66437,35.77565
33.65666667,35.7475,945,2.73505603,868,1.5,12,-0.00770333,-0.02815,872.7,4,113,33.66437,35.77565
33.65666667,35.7475,945,2.73505603,868,1.5,12,-0.00770333,-0.02815,872.7,4,116,33.66437,35.77565
33.65666667,35.7475,945,2.73505603,868,1.5,12,-0.00770333,-0.02815,872.7,4,117,33.66437,35.77565
33.65666667,35.7475,945,2.73505603,868,1.5,12,-0.00770333,-0.02815,872.7,4,113,33.66437,35.77565
33.65666667,35.7475,945,2.73505603,868,1.5,12,-0.00770333,-0.02815,872.7,4,111,33.66437,35.77565
33.65666667,35.7475,945,2.73505603,868,1.5,12,-0.00770333,-0.02815,872.7,4,108,33.66437,35.77565
33.65666667,35.7475,945,2.73505603,868,1.5,12,-0.00770333,-0.02815,872.7,4,110,33.66437,35.77565
33.65666667,35.7475,945,2.73505603,868,1.5,12,-0.00770333,-0.02815,872.7,4,111,33.66437,35.77565
33.65666667,35.7475,945,2.73505603,868,1.5,12,-0.00770333,-0.02815,872.7,4,109,33.66437,35.77565
33.65666667,35.7475,945,2.73505603,868,1.5,12,-0.00770333,-0.02815,872.7,4,109,33.66437,35.77565
33.65666667,35.7475,945,2.73505603,868,1.5,12,-0.00770333,-0.02815,872.7,4,110,33.66437,35.77565
33.65666667,35.7475,945,2.73505603,868,1.5,12,-0.00770333,-0.02815,872.7,4,110,33.66437,35.77565
33.65666667,35.7475,945,2.73505603,868,1.5,12,-0.00770333,-0.02815,872.7,4,108,33.66437,35.77565
33.65666667,35.7475,945,2.73505603,868,1.5,12,-0.00770333,-0.02815,872.7,4,111,33.66437,35.77565
33.65666667,35.7475,945,2.73505603,868,1.5,12,-0.00770333,-0.02815,872.7,4,117,33.66437,35.77565
33.65666667,35.7475,945,2.73505603,868,1.5,12,-0.00770333,-0.02815,872.7,4,115,33.66437,35.77565
33.65666667,35.7475,945,2.73505603,868,1.5,12,-0.00770333,-0.02815,872.7,4,115,33.66437,35.77565
33.65666667,35.7475,945,2.73505603,868,1.5,12,-0.00770333,-0.02815,872.7,4,109,33.66437,35.77565
33.65666667,35.7475,945,2.73505603,868,1.5,12,-0.00770333,-0.02815,872.7,4,116,33.66437,35.77565
33.65666667,35.7475,945,2.73505603,868,1.5,12,-0.00770333,-0.02815,872.7,4,114,33.66437,35.77565
33.65666667,35.7475,945,2.73505603,868,1.5,12,-0.00770333,-0.02815,872.7,4,113,33.66437,35.77565
33.65666667,35.7475,945,2.73505603,868,1.5,12,-0.00770333,-0.02815,872.7,4,111,33.66437,35.77565
33.65666667,35.7475,945,2.73505603,868,1.5,12,-0.00770333,-0.02815,872.7,4,113,33.66437,35.77565
33.65666667,35.7475,945,2.73505603,868,1.5,12,-0.00770333,-0.02815,872.7,4,111,33.66437,35.77565
33.65666667,35.7475,945,19.58831435,868,1.5,12,-0.15967333,-0.09062,936.8,4,142.5,33.81634,35.83812
33.65666667,35.7475,945,19.58831435,868,1.5,12,-0.15967333,-0.09062,936.8,4,147.2,33.81634,35.83812
